game,top_bot,bottom_bot,winner_side,winner_bot,moves,reason,final_player,final_vertex,opening_random,top_time,bottom_time,seed
1,neural,search,Bottom,search,103,normal,Bottom,1,2,0.0155,61.9999,42
2,search,neural,Top,search,100,normal,Top,151,2,63.2411,0.0164,43
3,neural,search,Bottom,search,109,normal,Bottom,3,2,0.0168,69.419,44
4,search,neural,Top,search,160,normal,Top,152,2,100.8141,0.0247,45
5,neural,search,Bottom,search,52,normal,Bottom,3,2,0.0117,26.0348,46
6,search,neural,Top,search,44,normal,Bottom,60,2,27.3782,0.0068,47
7,neural,search,Bottom,search,141,normal,Top,103,2,0.0197,81.9016,48
8,search,neural,Top,search,121,normal,Bottom,104,2,80.5389,0.0168,49
9,neural,search,Bottom,search,110,normal,Bottom,1,2,0.0175,68.6413,50
10,search,neural,Top,search,28,normal,Top,151,2,14.7918,0.0035,51
11,neural,search,Bottom,search,65,live_match,Bottom,1,0,0.0339,26.326,
12,neural,search,Bottom,search,51,live_match,Bottom,1,0,0.0259,2.4075,
13,neural,neural,Bottom,neural,72,live_match,Bottom,1,0,0.0422,0.0364,
14,neural,neural,Bottom,neural,72,live_match,Bottom,1,0,0.0418,0.0368,
15,neural,search,Bottom,search,51,live_match,Top,59,0,0.0369,7.5455,
16,neural,search,Bottom,search,51,live_match,Bottom,1,0,0.0256,13.3349,
17,neural,search,Bottom,search,51,live_match,Bottom,1,0,0.025,13.2096,
18,neural,search,Bottom,search,73,live_match,Top,125,0,0.0351,49.4091,
19,neural,search,Bottom,search,143,live_match,Top,49,0,0.0705,92.3751,
20,neural,search,Bottom,search,101,live_match,Bottom,1,0,0.0433,73.301,
21,search,search,Top,search,137,live_match,Top,152,0,59.1635,47.1282,
22,neural,search,Bottom,search,120,live_match,Top,92,0,0.0645,69.9535,
23,neural,neural,Bottom,neural,72,live_match,Bottom,1,0,0.0415,0.0377,
24,neural,neural,Bottom,neural,72,live_match,Bottom,1,0,0.0418,0.0376,
25,neural,neural,Bottom,neural,92,live_match,Top,93,3,0.0487,0.0506,
26,neural,neural,Bottom,neural,116,live_match,Top,2,3,0.0605,0.0645,
27,neural,neural,Top,neural,80,live_match,Top,150,3,0.0506,0.0357,
28,neural,search,Bottom,search,139,live_match,Top,71,3,0.0577,97.5302,
