game,top_bot,bottom_bot,winner_side,winner_bot,moves,reason,final_player,final_vertex,opening_random,top_time,bottom_time,seed
1,neural,search,Bottom,search,86,normal,Top,38,3,0.0232,2.4671,42
2,search,neural,Bottom,neural,50,normal,Bottom,3,3,1.4342,0.0107,43
3,neural,search,Bottom,search,35,normal,Top,26,3,0.011,0.4464,44
4,search,neural,Top,search,36,normal,Top,151,3,1.0689,0.0086,45
5,neural,search,Top,neural,126,normal,Top,151,3,0.0329,3.4633,46
6,search,neural,Top,search,132,normal,Bottom,7,3,3.8009,0.0329,47
7,neural,search,Bottom,search,43,normal,Bottom,3,3,0.0104,1.2852,48
8,search,neural,Top,search,54,normal,Top,151,3,1.0692,0.0158,49
9,neural,search,Top,neural,28,normal,Top,151,3,0.0075,0.7095,50
10,search,neural,Top,search,18,normal,Top,149,3,0.5582,0.003,51
11,neural,search,Bottom,search,66,normal,Top,27,3,0.0186,1.8029,52
12,search,neural,Top,search,24,normal,Top,151,3,0.5875,0.0056,53
13,neural,search,Bottom,search,37,normal,Bottom,3,3,0.0074,1.2066,54
14,search,neural,Bottom,neural,67,normal,Bottom,3,3,2.3552,0.016,55
15,neural,search,Bottom,search,125,normal,Bottom,3,3,0.0272,3.9504,56
16,search,neural,Bottom,neural,34,normal,Bottom,3,3,0.8032,0.0095,57
17,neural,search,Bottom,search,73,normal,Bottom,3,3,0.0166,2.44,58
18,search,neural,Top,search,42,normal,Top,149,3,1.6931,0.0083,59
19,neural,search,Top,neural,22,normal,Top,151,3,0.0057,0.5214,60
20,search,neural,Top,search,67,normal,Bottom,145,3,2.0537,0.0137,61
21,neural,search,Bottom,search,55,normal,Top,13,3,0.0133,1.3387,62
22,search,neural,Top,search,81,normal,Bottom,126,3,2.4535,0.0208,63
23,neural,search,Bottom,search,125,normal,Top,139,3,0.0228,4.1545,64
24,search,neural,Bottom,neural,49,normal,Bottom,3,3,0.8066,0.0149,65
25,neural,search,Bottom,search,60,normal,Bottom,3,3,0.0137,1.5619,66
26,search,neural,Top,search,37,normal,Top,151,3,0.9966,0.008,67
27,neural,search,Top,neural,44,normal,Top,151,3,0.0116,1.1093,68
28,search,neural,Bottom,neural,17,normal,Bottom,3,3,0.2679,0.0055,69
29,neural,search,Bottom,search,71,normal,Bottom,3,3,0.0134,2.1706,70
30,search,neural,Top,search,41,normal,Bottom,48,3,0.9112,0.0114,71
31,neural,search,Bottom,search,52,normal,Top,14,3,0.0133,1.5611,72
32,search,neural,Top,search,85,normal,Bottom,70,3,1.8352,0.025,73
33,neural,search,Bottom,search,106,normal,Bottom,3,3,0.0213,3.9101,74
34,search,neural,Top,search,56,normal,Top,149,3,1.6389,0.0147,75
35,neural,search,Top,neural,77,normal,Top,149,3,0.0159,2.7821,76
36,search,neural,Top,search,100,normal,Top,150,3,2.6097,0.028,77
37,neural,search,Bottom,search,87,normal,Top,37,3,0.0208,2.9823,78
38,search,neural,Top,search,29,normal,Top,151,3,0.6026,0.0063,79
39,neural,search,Top,neural,20,normal,Top,151,3,0.0051,0.4589,80
40,search,neural,Top,search,38,normal,Top,151,3,1.0635,0.0085,81
41,neural,search,Bottom,search,131,normal,Bottom,1,3,0.0315,3.9643,82
42,search,neural,Bottom,neural,118,normal,Bottom,3,3,3.966,0.0283,83
43,neural,search,Bottom,search,83,normal,Bottom,3,3,0.0184,2.6271,84
44,search,neural,Top,search,38,normal,Top,151,3,1.1245,0.0089,85
45,neural,search,Bottom,search,40,normal,Bottom,3,3,0.0095,0.9838,86
46,search,neural,Top,search,83,normal,Top,149,3,2.5257,0.0219,87
47,neural,search,Bottom,search,113,normal,Top,14,3,0.0281,3.4004,88
48,search,neural,Top,search,73,normal,Bottom,92,3,1.8411,0.0208,89
49,neural,search,Bottom,search,76,normal,Top,76,3,0.0194,2.3246,90
50,search,neural,Top,search,48,normal,Top,149,3,1.6974,0.0123,91
